Course_ID,Course_Name_ES,Course_Name_EN,Program_Track,Course_Category,Short_Description,Target_Audience,Prerequisites_Description,Minimum_Age,Required_Education_Level,Total_Contact_Hours,Duration_Days,Duration_Calendar_Span,Schedule_Format,Delivery_Mode,Language_of_Instruction,Materials_Included,Assessment_Method,Passing_Score,Max_Participants_Per_Class,Min_Participants_To_Run,What_They_Get,Price_Per_Person_MXN,Compliance_Flags
HP036,EMS Vehicle Operator Safety (EVOS),EMS Vehicle Operator Safety (EVOS),Certificación Internacional,Health Professionals Continuing Skill-Development,"Generar las destrezas para la conducción segura de vehículos de emergencia, con la oportunidad de obtener certificación…",Profesionales de la salud,Personal operativo,18,Sin requisitos específicos,16,2,2 días,2 Sesiones,Presencial,"Español, inglés bajo solicitud de servicio",Manual físico,Evaluación teórica,74%,20,8,Certificado y credencial NAEMT (National Association of Emergency Medical Technicians),2600,
HP037,Geriatric Education for EMS (GEMS),Geriatric Education for EMS (GEMS),Certificación Internacional,Health Professionals Continuing Skill-Development,"Generar las destrezas para la atención de pacientes geriátricos, contemplando las características propias de este grupo de edad.",Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual físico,Evaluación teórica,74%,20,8,Certificado y credencial NAEMT (National Association of Emergency Medical Technicians),2000,
HP038,Basic Life Support (BLS),Basic Life Support (BLS),Certificación Internacional,Health Professionals Continuing Skill-Development,El entrenamiento de soporte vital básico (SVB/BLS) refuerza los conocimientos de los profesionales de la salud acerca de la…,Profesionales de la salud,Población en general y profesionales de la salud,18,Sin requisitos específicos,6,1,0.5 día (medio día),1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,Evaluación teórica y evaluación práctica,Teórica 76/100 + evaluación práctica,20,7,Credencial AHA (American Heart Association),1900,
HP039,Advanced Cardiovascular Life Support (ACLS),Advanced Cardiovascular Life Support (ACLS),Certificación Internacional,Health Professionals Continuing Skill-Development,El curso SVCA/ACLS está diseñado para profesionales de la salud que dirigen o participan en el manejo de paro cardiorrespiratorio…,Profesionales de la salud que dirigen o participan en la reanimación,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,12,2,2 días,2 Sesiones,Presencial,"Español, inglés bajo solicitud de servicio",Manual físico,Evaluación teórica y evaluación práctica,Teórica 76/100 + evaluación práctica,20,7,Credencial AHA (American Heart Association),2900,
HP040,Pediatric Advanced Life Support (PALS),Pediatric Advanced Life Support (PALS),Certificación Internacional,Health Professionals Continuing Skill-Development,El curso de Reanimación Pediátrica (PALS) está diseñado para instruir acerca del reconocimiento y prevención de probables…,Profesionales de la salud,Estudiante o profesional del área de la salud,18,Sin requisitos específicos,18,2,2 días,2 Sesiones,Presencial,"Español, inglés bajo solicitud de servicio",Manual físico,Evaluación teórica y evaluación práctica,Teórica 76/100 + evaluación práctica,20,7,Credencial AHA (American Heart Association),3850,
GP009,Diplomado de Atención Médica Prehospitalaria Nivel Básico (DAMP-B),Diploma in Basic Prehospital Emergency Medical Care,Capacitación Externa (Población General),General Public,El Diplomado de Técnico en Urgencias Médicas Nivel Básico consiste en una formación teórico-práctica orientada al desarrollo de…,Personas interesadas en desarrollar habilidades en urgencias médicas,"Mayor de 18 años, CURP y certificado de bachillerato",18,Bachillerato terminado,920,12 meses (365 días),236 días (12 meses),Entre semana matutino y vespertino y fines de semana,Presencial,Español,Material y equipo de simulación para prácticas y escenarios de atención prehospitalaria,Evaluación teórica y evaluación continua,80%,Capacidad por unidad formadora (varía por sede),Capacidad por unidad formadora (varía por sede),Depende del paquete elegido (incluye Constancia Cruz Roja Mexicana y Diploma Universidad Anáhuac; algunos paquetes añaden credencial AHA y NAEMT),Por paquete: consultar,package_pricing;branch_capacity
HP041,Diplomado de Atención Médica Prehospitalaria Nivel Avanzado (DAMP-A),Diploma in Advanced Prehospital Emergency Medical Care,Diplomado,Health Professionals Continuing Skill-Development,El Diplomado en Atención Médica Prehospitalaria Nivel Avanzado (DAMP-A) es un programa de formación teórico-práctica que…,"Técnicos en urgencias médicas, básicos o intermedios",Constancia vigente de Técnico en Urgencias Médicas Básico,18,Bachillerato terminado,624,18 meses (78 días),72 sábados (18 meses),Sábados de 9:00 a 18:00,Híbrido,Español,Material y equipo de simulación para prácticas y escenarios de atención prehospitalaria,Evaluación teórica y evaluación continua,80%,Capacidad por unidad formadora (varía por sede),Capacidad por unidad formadora (varía por sede),"Depende del paquete elegido (Constancia Cruz Roja Mexicana, Diploma Universidad Anáhuac, credencial AHA y NAEMT)",Por paquete: consultar,package_pricing;branch_capacity
HP042,Diplomado: Apoyo Psicosocial en Emergencias Médicas y Desastres,Diploma in Psychosocial Support in Medical Emergencies and Disasters,Diplomado,Health Professionals Continuing Skill-Development,"Diplomado de 6 meses, avalado por la Subdivisión de Graduados y Educación Continua de la Facultad de Medicina de la UNAM…",Profesionales de la salud,Carrera técnica en urgencias médicas o licenciatura del área de la salud,18,Licenciatura o carrera técnica,203,6 meses,25 sábados (6 meses),Sábados de 9:00 a 14:00,En línea (síncrono),Español,Plataforma educativa para contenidos y actividades académicas,Completar el 100% de las actividades asincrónicas de la plataforma y asistencia mínima al 80% de las prácticas presenciales,80%,60,12,Constancia de Cruz Roja Mexicana + Diploma de la Universidad Nacional Autónoma de México (UNAM),Inscripción 2000 + mensualidades (consultar),enrollment_plus_monthly_pricing
HP043,Diplomado: Fisioterapia en el Paciente Hospitalizado,Diploma in Physiotherapy for Hospitalized Patients,Diplomado,Health Professionals Continuing Skill-Development,"Diplomado de 9 meses, avalado por la Subdivisión de Graduados y Educación Continua de la Facultad de Medicina de la UNAM, dirigido…",Profesionales de la salud en fisioterapia,"Licenciatura en fisioterapia, rehabilitación física o kinesiología",18,Licenciatura,204,9 meses,39 sábados (9 meses),Sábados de 9:00 a 16:00,Híbrido,Español,Material y equipo de simulación para prácticas y escenarios de fisioterapia intrahospitalaria,Completar el 100% de las actividades asincrónicas de la plataforma y asistencia mínima al 80% de las prácticas presenciales,80%,60,12,Constancia de Cruz Roja Mexicana + Diploma de la Universidad Nacional Autónoma de México (UNAM),Inscripción 3000 + mensualidades (consultar),enrollment_plus_monthly_pricing
HP044,Diplomado: Fisioterapia Respiratoria,Diploma in Respiratory Physiotherapy,Diplomado,Health Professionals Continuing Skill-Development,"Diplomado de 9 meses, avalado por la Subdivisión de Graduados y Educación Continua de la Facultad de Medicina de la UNAM, para…",Profesionales de la salud en fisioterapia,"Licenciatura en fisioterapia, rehabilitación física o kinesiología",18,Licenciatura,204,9 meses,39 sábados (9 meses),Sábados de 9:00 a 16:00,Híbrido,Español,Material y equipo de simulación para prácticas y escenarios de fisioterapia respiratoria,Completar el 100% de las actividades asincrónicas de la plataforma y asistencia mínima al 80% de las prácticas presenciales,80%,60,12,Constancia de Cruz Roja Mexicana + Diploma de la Universidad Nacional Autónoma de México (UNAM),Inscripción 3000 + mensualidades (consultar),enrollment_plus_monthly_pricing
RP006,Cartografía de Emergencias Nivel Operaciones,Emergency Mapping – Operational Level,Capacitación Profesional en Rescate,Rescue Professionals,Curso enfocado en el uso de herramientas cartográficas y de geolocalización aplicadas a la gestión de emergencias…,Rescue professional,Personal operativo,18,Constancia de técnico en urgencias médicas o cursos de primeros auxilios,24,3,3 días,3 Sesiones,Presencial,Español,Manual digital,Evaluación teórica y evaluación práctica,74%,24,12,Constancia de Cruz Roja Mexicana,1500,
IR001,Programa de Formación de Instructores,Instructor Training Program,Capacitación Profesional en Salud y Educación,Instructor,"Programa diseñado para desarrollar las competencias pedagógicas, técnicas y de evaluación necesarias para que personal con…",Instructor,Personal operativo y voluntario,18,Constancia de Técnico en Urgencias Médicas,24,3,3 días,3 Sesiones,Presencial,Español,Manual digital,Evaluación teórica,74%,24,12,Constancia de Cruz Roja Mexicana,2200,
HP045,RQI (Resuscitation Quality Improvement),RQI – Resuscitation Quality Improvement,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Modelo híbrido y continuo en reanimación cardiopulmonar que sustituye los largos cursos presenciales por sesiones en línea y…,Profesionales de la salud,Ser alumno activo o haber concluido el Diplomado en Atención Médica Prehospitalaria,18,Bachillerato terminado,6,1,1 día,Horario abierto,Híbrido,Español / Inglés,Plataforma de contenidos y maniquíes con retroalimentación en el centro,Evaluación teórica y evaluación práctica,Teórica 76/100 + evaluación práctica,20 (grupos más grandes bajo solicitud),5,Credencial AHA (American Heart Association),2900,
HP046,Primeros Auxilios Psicológicos,Psychological First Aid,Capacitación Profesional en Salud,Health Professionals Continuing Skill-Development,Proporciona herramientas para la atención emocional inmediata a personas en crisis durante…,Personas que no son profesionales de la salud,"No, es completamente abierto a cualquier público",15,Sin requisitos específicos,8,1,1 día,1 sesión,Presencial,"Español, inglés bajo solicitud de servicio",Manual digital,No hay evaluación,No aplica,20 (grupos más grandes bajo solicitud),5,Constancia de Cruz Roja Mexicana / DC-3 de competencias laborales de la STPS para empleados de empresas,755,
HP047,Estándar de Competencia en Atención Prehospitalaria (CONOCER),Labour Competency Standard in Prehospital Care,Certificación de profesionales de la salud,Certification,Es el documento oficial que sirve para evaluar y certificar la competencia para ejecutar atención…,Profesionales de la salud,Haber concluido satisfactoriamente el Diplomado en Atención Médica Prehospitalaria,18,Bachillerato terminado,1 h 45 min en gabinete + 5 h en campo,2 días,2 días,2 sesiones,Presencial,Español,Material y equipo de simulación para el examen de certificación,Evaluación teórica y evaluación práctica,98%,20 (grupos más grandes bajo solicitud),5,Certificado de Competencia Laboral en Atención Prehospitalaria (CONOCER),3200,
