Course_ID,Store_Product_Name,Provider,Store_Price_MXN,Stock_Status,Payment_Link
RP005,Guardavidas profesional de albercas y parques acuáticos,ENDE,"$2,600",Agotado,https://tienda.cruzrojacecem.com/products/guardavidas-profesional-de-albercas-y-parques-acuaticos
RP006,Cartografía de Emergencias,ENDE,"$1,500",En existencia,https://tienda.cruzrojacecem.com/products/cartografia-y-orientacion
,Actúa a tiempo: Aprende a salvar una vida,CECEM,$150,En existencia,https://tienda.cruzrojacecem.com/products/actua-a-tiempo-aprende-a-salvar-una-vida
,Asesoría Tesina,AHA,$300,En existencia,https://tienda.cruzrojacecem.com/products/asesoria-tesina
,"Campamento Estatal de Juventud ""Pequeños Vaqueros Grandes Héroes""",Cruz Roja CECEM,"$1,370",Agotado,https://tienda.cruzrojacecem.com/products/campamento-estatal-de-juventud-pequenos-vaqueros-grandes-heroes
,Certificación Red Conocer EC 1371 - Primeros Auxilios,Cruz Roja CECEM,"$3,200",En existencia,https://tienda.cruzrojacecem.com/products/certificacion-red-conocer-ec-1371-primeros-auxilios
,Constancias CECEM,Cruz Roja CECEM,$100,En existencia,https://tienda.cruzrojacecem.com/products/constancias-cecem
,"Electrocardiografía Avanzada (online, LearnWorlds) (⚠ duplicate name — verify with client)",LearnWorlds,"$12,000",En existencia,https://tienda.cruzrojacecem.com/products/electrocardiografia-avanzada-1
,Electrocardiografía Básica Online,LearnWorlds,$500,En existencia,https://tienda.cruzrojacecem.com/products/ekg-basica
,Fundamentos de Cuidados Críticos en Soporte Inicial (FCCS),Cruz Roja CECEM,"$5,800",En existencia,https://tienda.cruzrojacecem.com/products/fundamentos-de-cuidados-criticos-en-soporte-inicial-fccs
,Inducción a la Cruz Roja Mexicana,CECEM,Gratis,En existencia,https://tienda.cruzrojacecem.com/products/induccion-a-la-cruz-roja-mexicana
,Mensualidad Diplomado Apoyo Psicosocial en Emergencias y Desastres,Cruz Roja CECEM,"$2,500",En existencia,https://tienda.cruzrojacecem.com/products/mensualidad-de-apoyo-psicosocial-en-emergencias-medicas-y-desastres
,Mensualidad Diplomado Fisioterapia en el Paciente Hospitalizado,Cruz Roja CECEM,"Desde $3,000",En existencia,https://tienda.cruzrojacecem.com/products/inscripcion-diplomado-fisioterapia-en-el-paciente-hospitalizado-mensualidad
,Mensualidad Diplomado de Fisioterapia Respiratoria,Cruz Roja CECEM,"$3,000",En existencia,https://tienda.cruzrojacecem.com/products/mensualidad-diplomado-de-fisioterapia-respiratoria
,Mensualidad: Rescate en Zonas Agrestes,AHA,Desde $600,En existencia,https://tienda.cruzrojacecem.com/products/rescate-en-zonas-agrestes
,Pago complementario Cursos,Cruz Roja CECEM,"$1,600",En existencia,https://tienda.cruzrojacecem.com/products/pago-complementario-cursos-aha
,Programa Estatal de Actualización nivel Básico (PEAB) - Adicionales,Cruz Roja CECEM,Desde $160,En existencia,https://tienda.cruzrojacecem.com/products/programa-estatal-de-actualizacion-basico
,Recuperación NAEMT,AHA,Desde $200,En existencia,https://tienda.cruzrojacecem.com/products/recuperacion-naemt
,Reprogramación AHA,AHA,Desde $800,En existencia,https://tienda.cruzrojacecem.com/products/reprogramacion-aha
,Simulación Clínica en Prehospital,Cruz Roja CECEM,$750,Agotado,https://tienda.cruzrojacecem.com/products/simulacion-clinica-en-prehospital
,⚠ Test Oxxo Pay Shopify (INTERNAL TEST — NOT A COURSE),Cruz Roja CECEM,$10,En existencia,https://tienda.cruzrojacecem.com/products/test-oxxo-pay-shopify
